edumind-grafana  | logger=sqlstore t=2026-04-23T04:38:57.619380258Z level=info msg="Created default admin" user=admin
edumind-grafana  | logger=sqlstore t=2026-04-23T04:38:57.619451383Z level=info msg="Created default organization"
edumind-grafana  | logger=secrets t=2026-04-23T04:38:57.621153508Z level=info msg="Envelope encryption state" enabled=true currentprovider=secretKey.v1
edumind-grafana  | logger=plugin.angulardetectorsprovider.dynamic t=2026-04-23T04:38:57.637746008Z level=info msg="Restored cache from database" duration=198.458µs
edumind-grafana  | logger=plugin.store t=2026-04-23T04:38:57.638683466Z level=info msg="Loading plugins..."
edumind-grafana  | logger=plugins.registration t=2026-04-23T04:38:57.65010655Z level=error msg="Could not register plugin" pluginId=xychart error="plugin xychart is already registered"
edumind-grafana  | logger=plugins.initialization t=2026-04-23T04:38:57.650121133Z level=error msg="Could not initialize plugin" pluginId=xychart error="plugin xychart is already registered"
edumind-grafana  | logger=local.finder t=2026-04-23T04:38:57.650144258Z level=warn msg="Skipping finding plugins as directory does not exist" path=/usr/share/grafana/plugins-bundled
edumind-grafana  | logger=plugin.store t=2026-04-23T04:38:57.650148008Z level=info msg="Plugins loaded" count=54 duration=11.464792ms
edumind-grafana  | logger=query_data t=2026-04-23T04:38:57.651787841Z level=info msg="Query Service initialization"
edumind-grafana  | logger=live.push_http t=2026-04-23T04:38:57.653648425Z level=info msg="Live Push Gateway initialization"
edumind-grafana  | logger=ngalert.notifier.alertmanager org=1 t=2026-04-23T04:38:57.657121925Z level=info msg="Applying new configuration to Alertmanager" configHash=d2c56faca6af2a5772ff4253222f7386
edumind-grafana  | logger=ngalert.state.manager t=2026-04-23T04:38:57.659235133Z level=info msg="Running in alternative execution of Error/NoData mode"
edumind-grafana  | logger=infra.usagestats.collector t=2026-04-23T04:38:57.6600463Z level=info msg="registering usage stat providers" usageStatsProvidersLen=2
edumind-grafana  | logger=provisioning.datasources t=2026-04-23T04:38:57.661149175Z level=info msg="inserting datasource from configuration" name=Loki uid=loki
edumind-grafana  | logger=provisioning.alerting t=2026-04-23T04:38:57.669080925Z level=info msg="starting to provision alerting"
edumind-grafana  | logger=folder-service t=2026-04-23T04:38:57.669477258Z level=warn msg="User does not belong to a user or service account namespace, using 0 as user ID" namespaceID= userID=
edumind-grafana  | logger=provisioning.alerting t=2026-04-23T04:38:57.6858168Z level=info msg="finished to provision alerting"
edumind-grafana  | logger=grafanaStorageLogger t=2026-04-23T04:38:57.686303508Z level=info msg="Storage starting"
edumind-grafana  | logger=ngalert.state.manager t=2026-04-23T04:38:57.686629342Z level=info msg="Warming state cache for startup"
edumind-grafana  | logger=ngalert.multiorg.alertmanager t=2026-04-23T04:38:57.686706883Z level=info msg="Starting MultiOrg Alertmanager"
edumind-grafana  | logger=http.server t=2026-04-23T04:38:57.6874928Z level=info msg="HTTP Server Listen" address=[::]:3000 protocol=http subUrl= socket=
edumind-grafana  | logger=provisioning.dashboard t=2026-04-23T04:38:57.736545467Z level=info msg="starting to provision dashboards"
edumind-grafana  | logger=provisioning.dashboard t=2026-04-23T04:38:57.73656155Z level=info msg="finished to provision dashboards"
edumind-grafana  | logger=ngalert.state.manager t=2026-04-23T04:38:57.741324425Z level=info msg="State cache has been initialized" states=0 duration=54.692791ms
edumind-grafana  | logger=ngalert.scheduler t=2026-04-23T04:38:57.741348883Z level=info msg="Starting scheduler" tickInterval=10s maxAttempts=1
edumind-grafana  | logger=ticker t=2026-04-23T04:38:57.741376467Z level=info msg=starting first_tick=2026-04-23T04:39:00Z
edumind-grafana  | logger=grafana-apiserver t=2026-04-23T04:38:57.871249675Z level=info msg="Adding GroupVersion playlist.grafana.app v0alpha1 to ResourceManager"
edumind-grafana  | logger=grafana-apiserver t=2026-04-23T04:38:57.871524175Z level=info msg="Adding GroupVersion featuretoggle.grafana.app v0alpha1 to ResourceManager"
edumind-grafana  | logger=plugin.angulardetectorsprovider.dynamic t=2026-04-23T04:38:58.403639842Z level=info msg="Patterns update finished" duration=662.239167ms
edumind-grafana  | logger=plugins.update.checker t=2026-04-23T04:38:58.412402259Z level=info msg="Update check succeeded" duration=724.115876ms
edumind-grafana  | logger=grafana.update.checker t=2026-04-23T04:39:00.963784635Z level=info msg="Update check succeeded" duration=3.275599543s
edumind-grafana  | logger=tsdb.loki endpoint=queryData pluginId=loki dsName=Loki dsUID=loki uname=grafana_scheduler rule_uid=vinci-degraded-burst org_id=1 fromAlert=true t=2026-04-23T04:39:10.007196375Z level=info msg="Prepared request to Loki" duration=67.792µs queriesLength=1 stage=prepareRequest runInParallel=false
edumind-grafana  | logger=tsdb.loki endpoint=queryData pluginId=loki dsName=Loki dsUID=loki uname=grafana_scheduler rule_uid=vinci-degraded-burst org_id=1 fromAlert=true t=2026-04-23T04:39:10.022270958Z level=info msg="Response received from loki" duration=14.995666ms stage=databaseRequest statusCode=200 contentLength= start=2026-04-23T04:29:10Z end=2026-04-23T04:39:10Z step=1s query="sum(count_over_time({app=\"edumind-backend\"} |= \"app.analytics.telemetry\" |= \"\\\"module\\\": \\\"vinci\\\"\" |= \"\\\"status\\\": \\\"degraded\\\"\" [10m]))\n" queryType=range direction=backward maxLines=0 supportingQueryType=none lokiHost=loki:3100 lokiPath=/loki/api/v1/query_range status=ok
edumind-grafana  | logger=tsdb.loki endpoint=queryData pluginId=loki dsName=Loki dsUID=loki uname=grafana_scheduler rule_uid=vinci-degraded-burst org_id=1 fromAlert=true t=2026-04-23T04:39:10.022604791Z level=info msg="Response parsed from loki" duration=271.791µs metricDataplane=true framesLength=1 stage=parseResponse
edumind-grafana  | logger=ngalert.sender.router rule_uid=vinci-degraded-burst org_id=1 t=2026-04-23T04:39:10.025370041Z level=info msg="Sending alerts to local notifier" count=1
edumind-grafana  | logger=tsdb.loki endpoint=queryData pluginId=loki dsName=Loki dsUID=loki uname=grafana_scheduler rule_uid=vinci-error-rate-high org_id=1 fromAlert=true t=2026-04-23T04:39:12.510201251Z level=info msg="Prepared request to Loki" duration=31.333µs queriesLength=1 stage=prepareRequest runInParallel=false
edumind-grafana  | logger=tsdb.loki endpoint=queryData pluginId=loki dsName=Loki dsUID=loki uname=grafana_scheduler rule_uid=vinci-error-rate-high org_id=1 fromAlert=true t=2026-04-23T04:39:12.517742793Z level=info msg="Response received from loki" duration=6.582583ms stage=databaseRequest statusCode=200 contentLength=1682 start=2026-04-23T04:34:10Z end=2026-04-23T04:39:10Z step=1m0s query="sum(rate({app=\"edumind-backend\"} |= \"app.analytics.telemetry\" |= \"\\\"module\\\": \\\"vinci\\\"\" |= \"\\\"status\\\": \\\"error\\\"\" [5m]))\n" queryType=range direction=backward maxLines=0 supportingQueryType=none lokiHost=loki:3100 lokiPath=/loki/api/v1/query_range status=ok
edumind-grafana  | logger=tsdb.loki endpoint=queryData pluginId=loki dsName=Loki dsUID=loki uname=grafana_scheduler rule_uid=vinci-error-rate-high org_id=1 fromAlert=true t=2026-04-23T04:39:12.518013376Z level=info msg="Response parsed from loki" duration=179.5µs metricDataplane=true framesLength=0 stage=parseResponse
edumind-grafana  | logger=tsdb.loki endpoint=queryData pluginId=loki dsName=Loki dsUID=loki uname=grafana_scheduler rule_uid=vinci-error-rate-high org_id=1 fromAlert=true t=2026-04-23T04:39:12.518320334Z level=info msg="Prepared request to Loki" duration=27.708µs queriesLength=1 stage=prepareRequest runInParallel=false
edumind-grafana  | logger=tsdb.loki endpoint=queryData pluginId=loki dsName=Loki dsUID=loki uname=grafana_scheduler rule_uid=vinci-error-rate-high org_id=1 fromAlert=true t=2026-04-23T04:39:12.522523209Z level=info msg="Response received from loki" duration=3.988417ms stage=databaseRequest statusCode=200 contentLength=1903 start=2026-04-23T04:34:10Z end=2026-04-23T04:39:10Z step=1m0s query="sum(rate({app=\"edumind-backend\"} |= \"app.analytics.telemetry\" |= \"\\\"module\\\": \\\"vinci\\\"\" [5m]))\n" queryType=range direction=backward maxLines=0 supportingQueryType=none lokiHost=loki:3100 lokiPath=/loki/api/v1/query_range status=ok
