edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.140455756Z level=info msg="migrations completed" performed=572 skipped=0 duration=793.789584ms
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.140610506Z level=info msg="Unlocking database"
edumind-grafana  | logger=sqlstore t=2026-04-23T04:32:23.144994798Z level=info msg="Created default admin" user=admin
edumind-grafana  | logger=sqlstore t=2026-04-23T04:32:23.145051673Z level=info msg="Created default organization"
edumind-grafana  | logger=secrets t=2026-04-23T04:32:23.147430256Z level=info msg="Envelope encryption state" enabled=true currentprovider=secretKey.v1
edumind-grafana  | logger=plugin.angulardetectorsprovider.dynamic t=2026-04-23T04:32:23.161395714Z level=info msg="Restored cache from database" duration=164.208µs
edumind-grafana  | logger=plugin.store t=2026-04-23T04:32:23.162226298Z level=info msg="Loading plugins..."
edumind-grafana  | logger=plugins.registration t=2026-04-23T04:32:23.173800173Z level=error msg="Could not register plugin" pluginId=xychart error="plugin xychart is already registered"
edumind-grafana  | logger=plugins.initialization t=2026-04-23T04:32:23.173808256Z level=error msg="Could not initialize plugin" pluginId=xychart error="plugin xychart is already registered"
edumind-grafana  | logger=local.finder t=2026-04-23T04:32:23.173828923Z level=warn msg="Skipping finding plugins as directory does not exist" path=/usr/share/grafana/plugins-bundled
edumind-grafana  | logger=plugin.store t=2026-04-23T04:32:23.173832589Z level=info msg="Plugins loaded" count=54 duration=11.606459ms
edumind-grafana  | logger=query_data t=2026-04-23T04:32:23.175166756Z level=info msg="Query Service initialization"
edumind-grafana  | logger=live.push_http t=2026-04-23T04:32:23.176160464Z level=info msg="Live Push Gateway initialization"
edumind-grafana  | logger=ngalert.notifier.alertmanager org=1 t=2026-04-23T04:32:23.177467631Z level=info msg="Applying new configuration to Alertmanager" configHash=d2c56faca6af2a5772ff4253222f7386
edumind-grafana  | logger=ngalert.state.manager t=2026-04-23T04:32:23.179210339Z level=info msg="Running in alternative execution of Error/NoData mode"
edumind-grafana  | logger=infra.usagestats.collector t=2026-04-23T04:32:23.179956964Z level=info msg="registering usage stat providers" usageStatsProvidersLen=2
edumind-grafana  | logger=provisioning.datasources t=2026-04-23T04:32:23.180981964Z level=info msg="inserting datasource from configuration" name=Loki uid=loki
edumind-grafana  | logger=provisioning.alerting t=2026-04-23T04:32:23.186319048Z level=info msg="starting to provision alerting"
edumind-grafana  | logger=folder-service t=2026-04-23T04:32:23.186628923Z level=warn msg="User does not belong to a user or service account namespace, using 0 as user ID" namespaceID= userID=
edumind-grafana  | logger=provisioning.alerting t=2026-04-23T04:32:23.195694798Z level=info msg="finished to provision alerting"
edumind-grafana  | logger=grafanaStorageLogger t=2026-04-23T04:32:23.197054173Z level=info msg="Storage starting"
edumind-grafana  | logger=ngalert.multiorg.alertmanager t=2026-04-23T04:32:23.197259381Z level=info msg="Starting MultiOrg Alertmanager"
edumind-grafana  | logger=ngalert.state.manager t=2026-04-23T04:32:23.196994048Z level=info msg="Warming state cache for startup"
edumind-grafana  | logger=http.server t=2026-04-23T04:32:23.198808048Z level=info msg="HTTP Server Listen" address=[::]:3000 protocol=http subUrl= socket=
edumind-grafana  | logger=sqlstore.transactions t=2026-04-23T04:32:23.212102423Z level=info msg="Database locked, sleeping then retrying" error="database is locked" retry=0 code="database is locked"
edumind-grafana  | logger=provisioning.dashboard t=2026-04-23T04:32:23.232140798Z level=info msg="starting to provision dashboards"
edumind-grafana  | logger=provisioning.dashboard t=2026-04-23T04:32:23.232152506Z level=info msg="finished to provision dashboards"
edumind-grafana  | logger=ngalert.state.manager t=2026-04-23T04:32:23.232157173Z level=info msg="State cache has been initialized" states=0 duration=35.159125ms
edumind-grafana  | logger=ngalert.scheduler t=2026-04-23T04:32:23.232175589Z level=info msg="Starting scheduler" tickInterval=10s maxAttempts=1
edumind-grafana  | logger=ticker t=2026-04-23T04:32:23.232208964Z level=info msg=starting first_tick=2026-04-23T04:32:30Z
edumind-grafana  | logger=grafana-apiserver t=2026-04-23T04:32:23.360127506Z level=info msg="Adding GroupVersion playlist.grafana.app v0alpha1 to ResourceManager"
edumind-grafana  | logger=grafana-apiserver t=2026-04-23T04:32:23.360294423Z level=info msg="Adding GroupVersion featuretoggle.grafana.app v0alpha1 to ResourceManager"
edumind-grafana  | logger=grafana.update.checker t=2026-04-23T04:32:24.287158215Z level=info msg="Update check succeeded" duration=1.089865001s
edumind-grafana  | logger=plugins.update.checker t=2026-04-23T04:32:25.323108924Z level=info msg="Update check succeeded" duration=2.125550751s
edumind-grafana  | logger=plugin.angulardetectorsprovider.dynamic t=2026-04-23T04:32:25.896598841Z level=info msg="Patterns update finished" duration=2.668204793s
